Trade Date,MASI,DSI,FSI 
2018-02-16,22731.98,17129.91,3701.15
2018-02-15,22731.98,17129.91,3701.15
2018-02-14,22729.71,17127.85,3701.15
2018-02-13,22662.17,17066.31,3701.15
2018-02-12,22662.17,17066.31,3701.15
2018-02-09,22514.84,16932.07,3701.15
2018-02-08,22514.84,16932.07,3701.15
2018-02-07,22307.13,16766.86,3676.32
2018-02-06,22273.93,16736.61,3676.32
2018-02-05,22260.04,16723.95,3676.32
2018-02-02,22226.04,16692.97,3676.32
2018-02-01,22226.04,16692.97,3676.32
2018-01-31,22223.44,16692.97,3673.87
2018-01-30,22223.44,16692.97,3673.87
2018-01-29,22223.44,16692.97,3673.87
2018-01-26,22212.10,16682.65,3673.87
2018-01-25,22211.58,16682.65,3673.38
2018-01-24,22211.58,16682.65,3673.38
2018-01-23,22186.65,16659.93,3673.38
2018-01-22,22015.57,16504.06,3673.38
2018-01-19,22015.57,16504.06,3673.38
2018-01-18,21974.77,16466.89,3673.38
2018-01-17,21969.50,16466.89,3668.41
2018-01-16,21969.50,16466.89,3668.41
2018-01-12,21889.86,16394.33,3668.41
2018-01-11,21889.86,16394.33,3668.41
2018-01-10,21869.63,16375.90,3668.41
2018-01-09,21869.63,16375.90,3668.41
2018-01-08,21711.40,16375.90,3519.43
2018-01-05,21711.40,16375.90,3519.43
2018-01-04,21711.40,16375.90,3519.43
2018-01-03,21711.40,16375.90,3519.43
2018-01-02,21598.07,16272.64,3519.43
2017-12-29,21598.07,16272.64,3519.43
2017-12-28,21598.07,16272.64,3519.43
2017-12-27,21598.07,16272.64,3519.43
2017-12-22,21598.07,16272.64,3519.43
2017-12-21,21598.07,16272.64,3519.43
2017-12-20,21598.07,16272.64,3519.43
2017-12-19,21597.44,16272.06,3519.43
2017-12-18,21480.98,16168.80,3516.49
2017-12-15,21480.98,16168.80,3516.49
2017-12-14,21480.88,16168.72,3516.49
2017-12-13,21480.88,16168.72,3516.49
2017-12-12,21480.88,16168.72,3516.49
2017-12-11,21480.88,16168.72,3516.49
2017-12-08,21480.88,16168.72,3516.49
2017-12-07,21421.92,16116.32,3516.49
2017-12-06,21189.63,15909.92,3516.49
2017-12-05,21189.04,15909.39,3516.49
2017-12-04,21189.04,15909.39,3516.49
2017-12-01,21189.04,15909.39,3516.49
2017-11-30,21122.43,15850.21,3516.49
2017-11-29,21116.33,15844.79,3516.49
2017-11-28,21116.33,15844.79,3516.49
2017-11-27,21116.33,15844.79,3516.49
2017-11-24,20722.59,15844.84,3094.88
2017-11-23,20722.59,15844.84,3094.88
2017-11-22,20722.59,15844.84,3094.88
2017-11-21,20240.09,15716.61,2732.78
2017-11-20,20326.52,15793.42,2732.78
2017-11-17,20321.89,15793.42,2727.82
2017-11-16,20263.60,15741.62,2727.82
2017-11-15,20263.60,15741.62,2727.82
2017-11-14,20263.60,15741.62,2727.82
2017-11-13,20184.11,15670.99,2727.82
2017-11-10,20184.11,15670.99,2727.82
2017-11-09,20184.11,15670.99,2727.82
2017-11-08,20281.18,15761.36,2722.86
2017-11-07,20251.32,15734.83,2722.86
2017-11-06,20251.22,15734.74,2722.86
2017-11-03,20280.70,15760.94,2722.86
2017-11-02,20280.70,15760.94,2722.86
2017-11-01,20049.06,15760.94,2474.85
2017-10-31,20049.06,15760.94,2474.85
2017-10-30,20049.06,15760.94,2474.85
2017-10-27,20034.82,15748.29,2474.85
2017-10-26,20032.20,15745.96,2474.85
2017-10-25,20022.03,15736.92,2474.85
2017-10-24,19438.09,15218.21,2474.85
2017-10-23,19438.09,15218.21,2474.85
2017-10-20,19436.05,15216.40,2474.85
2017-10-19,19265.14,15064.59,2474.85
2017-10-18,19265.14,15064.59,2474.85
2017-10-17,19219.39,15064.59,2425.75
2017-10-13,19199.05,15046.51,2425.75
2017-10-12,19197.01,15044.71,2425.75
2017-10-11,19186.84,15035.67,2425.75
2017-10-10,19186.25,15035.14,2425.75
2017-10-09,19275.77,15114.67,2425.75
2017-10-06,19591.14,15394.81,2425.75
2017-10-05,19591.14,15394.81,2425.75
2017-10-04,20000.69,15758.61,2425.75
2017-10-03,19925.66,15691.96,2425.75
2017-10-02,19925.66,15691.96,2425.75
2017-09-29,19920.42,15687.31,2425.75
2017-09-28,19822.11,15599.98,2425.75
2017-09-27,19822.11,15599.98,2425.75
2017-09-26,19981.23,15726.49,2425.75
2017-09-25,19998.24,15740.02,2425.75
2017-09-22,19998.24,15740.02,2425.75
2017-09-21,19998.00,15739.83,2425.75
2017-09-20,19975.11,15721.63,2425.75
